MarketID,ProductID,PlatformID,ShopID,Price,Quantity,ReviewCount,StarRating,Storage,CrawlDate
MK228,P002,PL02,S016,27000000,0,0,0.0,256GB,2024-02-04
MK229,P002,PL02,S012,26257000,14,1,1.0,256GB,2024-02-04
MK230,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-02-04
MK231,P002,PL02,S016,42291000,0,0,0.0,1TB,2024-02-04
MK232,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-02-04
MK233,P002,PL02,S016,34000000,0,0,0.0,512GB,2024-02-04
MK234,P002,PL02,S016,42000000,0,0,0.0,1TB,2024-02-04
MK235,P002,PL02,S016,30000000,0,0,0.0,256GB,2024-02-04
MK236,P002,PL02,S016,30000000,0,0,0.0,256GB,2024-02-04
MK237,P002,PL02,S013,25990000,0,0,0.0,256GB,2024-02-11
MK238,P002,PL02,S012,21910000,0,0,0.0,256GB,2024-02-11
MK239,P002,PL02,S017,21910000,0,0,0.0,256GB,2024-02-11
MK240,P002,PL02,S017,22020000,0,0,0.0,256GB,2024-02-11
MK241,P002,PL02,S012,26257000,14,1,1.0,256GB,2024-02-11
MK242,P002,PL02,S016,30000000,0,0,0.0,256GB,2024-02-11
MK243,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-02-11
MK244,P002,PL02,S016,42000000,0,0,0.0,1TB,2024-02-11
MK245,P002,PL02,S016,34000000,0,0,0.0,512GB,2024-02-11
MK246,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-02-11
MK247,P002,PL02,S016,30000000,0,0,0.0,256GB,2024-02-11
MK248,P002,PL02,S016,42000000,0,0,0.0,1TB,2024-02-11
MK249,P002,PL02,S016,34771000,0,0,0.0,512GB,2024-02-11
MK250,P002,PL02,S009,25990200,111,21,4.9,256GB,2024-02-21
MK251,P002,PL02,S012,26257000,16,1,1.0,256GB,2024-02-21
MK252,P002,PL02,S010,22490000,199,43,4.8,256GB,2024-02-21
MK253,P002,PL02,S012,21910000,0,0,0.0,256GB,2024-02-21
