itemid,shopid,name,stock,ctime,sold,historical_sold,liked_count,cmt_count,price,options,item_rating,PlatformID,ProductID
16895499898,95497682,Điện thoại Samsung Galaxy S23 Ultra 5G 2sim Quốc tế chính hãng New Seal Fullbox ( Snapdragon Gen2/ 256GB/512GB/1TB ),17,1690861432,0,0,3,0,1879000000000,"['8/256GB Quốc tế', '12/512GB Quốc tế', '12GB/1TB Quốc tế']",0.0,PL03,P002
24859181995,507755150,"[Điện thoạ Samsung Galaxy S24 Ultra ] Điện thoại Samsung Galaxy S24 Ultra, Camera 200MP Zoom 100x, S Pen - TechWatchVN",105,1705570469,2,36,42,13,2699000000000,"['Xám Titan', 'Đen Titan', 'Tím Titan', 'Vàng Titan', 'Xanh Dương Titan', 'Xanh Lục Titan', 'Cam Titan']",5.0,PL03,P002
23859971329,23793258,"Điện thoại Samsung Galaxy A54 5G 8GB/256GB - Màn hình Super AMOLED 120Hz, Chipet  Exynos 1380, Bảo hành độc quyền 2 năm",33,1698896141,12,21,29,9,879000000000,"['Đen', 'Xanh', 'Tím']",5.0,PL03,P002
21738801211,23793258,Điện Thoại Samsung Galaxy Z Flip4 5G 256GB Chính Hãng,8,1661490966,1,7,49,2,2599000000000,"['Xám Graphite', 'Xanh Lovebird', 'Tím Bora', 'Hồng Champagne']",5.0,PL03,P002
19273526003,23793258,"Điện thoại Samsung Galaxy A54 5G 8GB/128GB - Màn hình Super AMOLED 120Hz, Chipet  Exynos 1380, Bảo hành độc quyền 2 năm",35,1676541452,3,5,14,1,839000000000,"['Đen', 'Xanh', 'Tím']",5.0,PL03,P002
25259128424,48406301,Điện thoại Samsung Galaxy S24 Ultra - Hàng chính hãng,4140,1705556377,22,34,32,14,2649000000000,"['Đen Titan', 'Vàng Titan', 'Tím Titan', 'Xám Titan', 'Xanh Lá Titan', 'Cam Titan', 'Xanh Dương Titan']",5.0,PL03,P002
24660676383,1013588070,Điện thoại Samsung Galaxy S24 / S24 Plus / S24 Ultra - Hàng chính hãng,521,1706110883,0,38,8,26,1799000000000,"['Đen', 'Vàng', 'Tím', 'Xám']",5.0,PL03,P002
25160923224,36280069,[Galaxy S24 Ultra] Điện thoại thông minh Samsung Galaxy S24 Ultra,105,1706251245,1,1,8,0,2649000000000,"['Xám Titan', 'Đen Titan', 'Tím Tian', 'Vàng Titan', 'BlueSky (Exclusive)', 'Xanh Lục (Exclusive)', 'Cam (Exclusive)']",0.0,PL03,P002
24710640044,1013588070,"Điện thoại Samsung Galaxy S24+ , Điện thoại AI,Camera 50MP, Màn hình 6.7"" Dynamic AMOLED 2X QHD+",74,1706093819,0,41,10,20,2099000000000,"['Vàng', 'Xám', 'Đen', 'Tím']",5.0,PL03,P002
25768136303,48406301,Điện thoại Samsung Galaxy S24 Ultra Màu Độc Quyền - Hàng chính hãng,1790,1710168838,0,0,0,0,2649000000000,"['Xanh Dương Titan', 'Xanh Lục Titan', 'Cam Titan']",0.0,PL03,P002
