orderid,itemid,cmtid,ctime,rating,userid,shopid,comment,rating_star,skin_suitability,absorption,model_name
151034669280000,21993222972,12918192971,1697623592,1,44939237,288286284,Máy ok,5,,,Blue Titanium
157550304212969,21993222972,13784075877,1704508419,1,330769765,288286284,,5,,,Black Titanium
153334969287609,21993222972,13223955441,1700094455,1,1034158658,288286284,Đắt,5,,,Natural Titanium
153378035271136,21993222972,13200061412,1699941739,1,307514059,288286284,Ok,5,,,Natural Titanium
153336936250175,21993222972,13275945897,1700465776,1,60052801,288286284,Gkjg,5,,,Natural Titanium
153336840244794,21993222972,13257114042,1700307467,1,258205418,288286284,Ok,5,,,Natural Titanium
153335055249361,21993222972,13256343210,1700303658,1,64276654,288286284,,5,,,White Titanium
153336890242936,21993222972,13250893755,1700275929,1,303255214,288286284,,5,,,Black Titanium
153334809299925,21993222972,13216221257,1700039236,1,8111049,288286284,,5,,,Natural Titanium
153367629205324,21993222972,13237965639,1700186269,1,1543386,288286284,,5,,,Black Titanium
153337131210121,21993222972,13357936315,1701143077,1,72240387,288286284,,5,,,Black Titanium
152165620297806,21993222972,13030667586,1698569626,1,22428120,288286284,,5,,,Natural Titanium
152508492249348,21993222972,13080734621,1698991796,1,20956654,288286284,,5,,,White Titanium
152470984229059,21993222972,13094013952,1699092353,1,48467153,288286284,,5,,,White Titanium
153378029290734,21993222972,13224746546,1700100000,1,6379353,288286284,,5,,,Natural Titanium
153378055282194,21993222972,13241646791,1700205222,1,68003136,288286284,,5,,,Natural Titanium
153417159201550,21993222972,13243106057,1700212204,1,43695080,288286284,,5,,,White Titanium
155118432200858,21993222972,13481584813,1702106566,1,6286812,288286284,,5,,,Natural Titanium
155117912229988,21993222972,13508557225,1702311350,1,304792694,288286284,,5,,,Blue Titanium
156092133272239,21993222972,13560771403,1702650297,1,8973540,288286284,,5,,,Blue Titanium
156047302234955,21993222972,13556107926,1702633046,1,89008703,288286284,,5,,,Natural Titanium
157190789293929,21993222972,13714865456,1703863649,1,8673715,288286284,,5,,,Blue Titanium
156047012266988,21993222972,13598363247,1702903650,1,155908166,288286284,,5,,,Natural Titanium
153334943257069,21993222972,13222085318,1700063063,1,63577329,288286284,,5,,,Natural Titanium
154525473288052,21993222972,13368376981,1701228147,1,92623392,288286284,,5,,,Natural Titanium
157136402253280,21993222972,13708038002,1703824122,1,92623392,288286284,,5,,,Natural Titanium
157136585276488,21993222972,13708737150,1703828052,1,24935084,288286284,,5,,,Blue Titanium
157430366295284,21993222972,13745968899,1704194140,1,92623392,288286284,,5,,,Natural Titanium
151013346256892,21993222972,12929981867,1697711379,1,27247654,288286284,,5,,,Blue Titanium
