orderid,itemid,cmtid,ctime,rating,userid,shopid,comment,rating_star,skin_suitability,absorption,model_name
153680478278599,23354704062,13243204137,1700212658,1,92623392,308461157,Chất lượng sản phẩm:hang ok,5,,,Natural Titanium
154458077284245,23354704062,13394494232,1701420628,1,1041277234,308461157,Minh nhận máy roi ạ,5,,,Natural Titanium
156057067216671,23354704062,13536463409,1702522978,1,1088374734,308461157,Lun ủng hộ viettel,5,,,Natural Titanium
155109895208068,23354704062,13491204646,1702189007,1,86889954,308461157,Chất lượng ok,5,,,Natural Titanium
156309055267709,23354704062,13637533964,1703204512,1,308202686,308461157,Sản phẩm ok,5,,,White Titanium
156272410295051,23354704062,13578232779,1702781891,1,308202686,308461157,Máy ok,5,,,Natural Titanium
153334845200097,23354704062,13360873087,1701160016,1,789601674,308461157,,5,,,Natural Titanium
153680485221702,23354704062,13441585652,1701796054,1,66797841,308461157,,5,,,Natural Titanium
151002011280889,23354704062,12936755011,1697773388,1,8111049,308461157,"Máy đẹp, nguyên seal",5,,,White Titanium
153335149252810,23354704062,13191576328,1699876075,1,836905394,308461157,OK ạ,5,,,White Titanium
153680497245622,23354704062,13270221934,1700411223,1,82417280,308461157,,5,,,Natural Titanium
150571652244191,23354704062,12986767528,1698210689,1,75486158,308461157,,5,,,Blue Titanium
151908727292141,23354704062,13334827655,1700929460,1,650616410,308461157,Toi that su rat toi rat that su nhieu hay gi nhiu su van hay hi  su,5,,,Natural Titanium
157213048266126,23354704062,13705209622,1703787578,1,22129254,308461157,Chat luong tuyet voi,5,,,White Titanium
152470989244019,23354704062,13092770981,1699085405,1,541504335,308461157,"Đầy đủ hoá đơn, chọn ngày đẹp để bóc :)",5,,,Natural Titanium
153334866224302,23354704062,13205764940,1699965320,1,164522752,308461157,Nhanh mạnh đẹp hơp thời trang,5,,,Natural Titanium
154458083210484,23354704062,13409168669,1701530722,1,308202686,308461157,Sản phẩm tuyệt vời,5,,,White Titanium
156013207263783,23354704062,13529825444,1702465942,1,76174075,308461157,Qua ok,5,,,White Titanium
155109619253199,23354704062,13460303913,1701942502,1,119594899,308461157,Oke,5,,,Natural Titanium
153680533208431,23354704062,13237866652,1700185617,1,76174075,308461157,Ok,5,,,Natural Titanium
153389580227323,23354704062,13323965814,1700836109,1,16703297,308461157,,5,,,Natural Titanium
154491613269905,23354704062,13372367947,1701249735,1,1023057129,308461157,,5,,,White Titanium
156749114242758,23354704062,13704851535,1703781038,1,115008608,308461157,Tốt và rất đẹp,5,,,White Titanium
