,Id,Date published,Title,Channel title,View count,Like count,Comments count
35,tSNECeRgQZw,2023-02-24T11:54:14Z,Tóm lại camera 200MP để làm gì? | So sánh camera Galaxy S23 Ultra vs. Xiaomi 12T Pro,ReLab,17028,344,68
36,PUusbePIHUM,2023-02-17T11:41:22Z,"Đánh giá chi tiết Galaxy S23 Ultra: Thầm lặng, mạnh mẽ và hoàn thiện!",ReLab,39199,715,158
37,uIJve2iIMd8,2023-02-10T04:26:29Z,Tính năng khá hay trên Galaxy S23 Ultra mà chắc chắn iPhone không có! #shorts,Vinh Xô,52055,1326,51
38,7NefrOuXUSE,2023-02-11T12:00:09Z,"Vinh Xô | Galaxy S23 Ultra chứng minh Apple, Sony đã đúng",Vinh Xô,213913,2618,650
39,vsUElFINXtg,2023-02-27T13:04:28Z,Vinh Xô | So sánh nhanh Xiaomi 13 Pro và Galaxy S23 Ultra,Vinh Xô,117802,1322,437
40,m55dqLcr5gI,2023-02-09T05:33:43Z,Vinh Xô| Snapdragon Made for Galaxy S23 Ultra: 0EatLose?,Vinh Xô,34310,890,255
41,-7eRFlSv3fw,2023-04-23T13:30:00Z,Vinh Xô | So sánh chi tiết OPPO Find X6 Pro và Galaxy S23 Ultra,Vinh Xô,43445,664,194
42,wkiQOv8f6WE,2023-02-09T03:00:20Z,So sánh quay video Galaxy S23 Ultra vs iPhone 14 Pro Max | Review Galaxy S23 Ultra,Duy Luân Dễ Thương,39137,621,141
43,UzHjHZumaYY,2023-02-02T11:00:21Z,Không phải cứ mắc nhất là đúng nhất: mình thích Galaxy S23 hơn Galaxy S23 Ultra nhiều,Duy Luân Dễ Thương,39749,710,117
44,S1rXAyTym-M,2023-02-07T11:00:29Z,"So sánh Galaxy S23 Ultra vs iPhone 14 Pro Max: pin S23U bất ngờ nha, camera thì...",Duy Luân Dễ Thương,118938,1272,331
45,OUZg9AnUy4Y,2023-02-12T03:00:15Z,Vì sao ảnh của Galaxy S23 Ultra tốt hơn iPhone 14 Pro Max,Duy Luân Dễ Thương,27300,567,135
46,pwa8o51xpSw,2023-02-02T07:42:19Z,UNBOX GALAXY S23 ULTRA - CAMERA 200MP ĐỈNH VÃIII - THIẾT KẾ CHẢ KHÁC GÌ !??,AnhEm TV,85544,1708,207
47,D75V9zyR0J0,2023-02-03T12:50:27Z,TEST HIỆU NĂNG iPHONE 14 PRO MAX vs GALAXY S23 ULTRA: iPHONE ĐÃ THUA...,AnhEm TV,110489,2101,471
48,o30YnrWxKdQ,2023-10-01T12:45:05Z,Nhìn iPhone mới thấy Galaxy S23 Ultra mang lại công nghệ Xịn mà RẺ hơn nhiều !!!,Tony Phùng Studio,65616,767,330
49,Nz99WJxA8pk,2023-12-10T12:30:18Z,Uầy.. Galaxy S23 Ultra giá ngon thế này thì tìm đâu ra đối thủ ???,Tony Phùng Studio,14721,270,168
50,cJeFlQbfK4Q,2023-07-13T12:00:33Z,"Sau 6 tháng chênh nhau gần 6 triệu, mua iPhone 14 Pro Max hay Galaxy S23 Ultra ???",Tony Phùng Studio,91427,821,309
51,rf0GOnTOBts,2023-12-19T12:30:29Z,Có 20 triệu thì mua Galaxy S23 Ultra hay iPhone 14 Plus ???,Tony Phùng Studio,14628,265,184
52,gSc97uxaLeU,2023-12-11T12:30:20Z,"Galaxy S23 Ultra đã ngon, S23 Plus tính ra còn ngon hơn???",Tony Phùng Studio,15729,256,96
53,dvuFzgqu7R4,2023-04-19T12:00:23Z,"Những thứ Galaxy S23 Ultra làm ""TỐT HƠN"" so với iPhone 14 Pro Max !!!",Tony Phùng Studio,230701,4610,291
54,cNwMYlEQL9M,2023-02-17T05:20:00Z,Đánh giá chi tiết Galaxy S23 Ultra sau 2 tuần trải nghiệm sâu: camera ĐỈNH !!!,Tony Phùng Studio,37890,523,231
55,4r9Ld-g2o1o,2023-02-11T05:30:01Z,Galaxy S23 Ultra sau 48h !!!,Tony Phùng Studio,32317,474,159
56,nZLQQizhKbQ,2023-02-20T13:15:05Z,So sánh iPhone 14 Pro Max vs Galaxy S23 Ultra !!!,Tony Phùng Studio,44163,546,252
57,16dBUzWmXBc,2023-06-03T12:00:01Z,Galaxy S23 Ultra Hàn ĐẮT HƠN chính hãng... vẫn có người mua ???,Tony Phùng Studio,19936,243,94
