,Id,Date published,Title,Channel title,View count,Like count,Comments count
34,aBNBy7bMqLI,2023-10-07T13:09:19Z,Đánh giá iPhone 15 Pro Max sau 1 tuần: Ai thật sự cần chiếc máy này?,Vinh Xô,208475,1844,387
35,gjz-Uh1QRwY,2023-09-15T04:43:14Z,Vinh Xô | Lý do để lên đời iPhone 15 Pro Max nếu đang dùng 14 Pro Max,Vinh Xô,160472,1472,533
36,qMwcbJp8hXA,2023-10-18T12:46:17Z,So sánh chi tiết iPhone 15 Pro Max và iPhone 14 Pro Max: 5 khác biệt quan trọng ở đây!,Vinh Xô,140786,1178,197
37,8jCg0b8xHUk,2023-10-28T13:02:19Z,iPhone 15 Pro Max Titan tự nhiên chỉ 24 triệu: mình nói KHÔNG còn bạn thì sao?,Vinh Xô,54414,577,142
38,dL8VAft6WRQ,2023-09-25T05:55:14Z,Sự thật về Titanium trên iPhone 15 Pro Max: độ dày Titanium được bao nhiêu?,Vinh Xô,195261,2512,577
39,VkJZXnUCkEg,2023-11-15T11:47:54Z,"Tạm biệt iPhone 15 Pro Max, từ nay tôi sẽ quay review bằng máy này: DJI Osmo Pocket 3",Vinh Xô,59197,894,223
40,oV1NyJdkaQo,2023-11-04T13:18:40Z,"1 ngày dùng thực tế iPhone 15 Pro Max: pin quá khoẻ, vẫn giảm sáng màn hình?",Vinh Xô,67378,836,223
41,TgndsCjb1fQ,2023-09-30T23:16:52Z,Review iPhone 15 Pro Max: thay đổi nhỏ (hay lớn)?,Duy Luân Dễ Thương,126226,1396,200
42,bJtdr6EW85U,2023-09-17T04:09:47Z,Nên mua iPhone 15 nào? Đang xài 14 Pro Max có nên lên iPhone 15 Pro Max?,Duy Luân Dễ Thương,195351,1934,522
43,PhUtrPElKZo,2023-09-28T03:00:13Z,iPhone 15 Pro Max vs iPhone 15 Plus: lệch 9 triệu phải hi sinh gì? Không nhất thiết phải là Pro Max,Duy Luân Dễ Thương,132241,1383,444
44,sTxx-bawbd0,2023-10-18T11:00:51Z,So sánh Pixel 8 Pro vs iPhone 15 Pro Max: không như bạn nghĩ!,Duy Luân Dễ Thương,37202,542,132
45,jIGhN4GpCgQ,2023-10-04T02:00:15Z,"Review iPhone 15 Pro Max, có nên lên đời từ iPhone 13, 14 Pro Max không?",Duy Luân Dễ Thương,4833,51,6
46,Ca4fRLn5SHs,2023-10-08T11:54:42Z,Test camera iPhone 15 Pro Max qua 1 chuyến đi Hà Nội,Duy Luân Dễ Thương,21814,470,93
47,7SxwYnaotgc,2023-09-30T00:08:28Z,So sánh iPhone 15 Pro Max vs iPhone 13 và 14 Pro Max: năm nay lên chưa?,Duy Luân Dễ Thương,151826,1172,321
48,1LbE6SJ4EI4,2023-09-27T12:30:02Z,REVIEW iPHONE 15 PRO MAX SAU 24h: CAMERA QUÁ BÁ ĐẠO,AnhEm TV,207592,2561,367
49,MjO4Kz58rPQ,2023-10-01T12:30:09Z,ĐÁNH GIÁ HIỆU NĂNG iPHONE 15 PRO MAX - QUÁ NÓNG !??,AnhEm TV,69895,1449,213
50,9jVLmgghAgM,2023-09-29T04:34:24Z,CÙNG SCHANNEL ĐI MUA iPHONE 15 PRO MAX NGÀY MỞ BÁN !!!,AnhEm TV,90006,1660,66
51,1LSGEzu3a2M,2023-05-05T12:44:17Z,iPHONE 15 PRO MAX VỚI MÀU MỚI SIÊUUU NÉT !!!!,AnhEm TV,156991,1748,208
52,AdM1J7V3DO0,2023-10-04T12:21:59Z,THỨC ĐÊM TEST PIN iPHONE 15 PRO MAX vs iPHONE 14 PRO MAX,AnhEm TV,111147,1730,224
53,wGNxtwrWcTo,2023-11-08T12:30:15Z,"TRÊN TAY iPHONE 15 PRO MAX FULL TITAN, VÀNG 24K: 150 TRIỆU !!!",AnhEm TV,3338,87,8
54,aj3_YgnH4S8,2023-10-13T04:23:32Z,CÓ THỬ DÁN SEAL iPHONE 15 PRO MAX FAKE NHƯ THẬT CHỈ 50K,AnhEm TV,10351,173,19
55,k5J_3KEgip4,2023-10-31T13:03:07Z,TEST THỬ GAME AAA TRÊN iPHONE 15 PRO MAX: SIÊU MƯỢT !??,AnhEm TV,21197,421,110
56,MqJDIZeCXFc,2023-12-16T12:30:24Z,Mua iPhone 15 Pro Max lúc này có OK không ???,Tony Phùng Studio,18463,254,84
57,d78kwLJhbFo,2024-01-03T12:01:00Z,"Mua iPhone 15 Pro Max trước Tết giá này đã ""hời"" chưa???",Tony Phùng Studio,10028,163,47
58,BikktTq_ZJ0,2023-11-29T12:00:13Z,Cách khai thác hết sức mạnh của iPhone 15 Pro Max !!!,Tony Phùng Studio,15349,261,39
59,UIb5Dq-bN9Y,2023-11-03T12:00:24Z,"iPhone 15 Pro Max - Dùng đủ rồi, đánh giá chi tiết thôi !!!",Tony Phùng Studio,38630,497,100
60,g1ueYL_3n28,2023-10-02T11:45:02Z,iPhone 15 Pro Max đáng lựa chọn nhất dù giá rất cao ???,Tony Phùng Studio,19919,270,81
61,YbXm1s8JoqM,2023-09-28T11:00:32Z,Review iPhone 15 Pro Max sau 3 ngày trải nghiệm - Đợi máy chính hãng thôi !!!,Tony Phùng Studio,56640,561,193
62,vzjyfmSGdGQ,2023-09-16T12:00:59Z,"Cuối năm nay, iPhone 15 Pro Max không có đối thủ !!!",Tony Phùng Studio,22013,383,182
63,lds9aHhRlUk,2023-10-11T12:30:34Z,So sánh iPhone 15 Pro Max và Galaxy S23 Ultra !!!,Tony Phùng Studio,46314,536,214
64,uKp62yNP-9E,2023-12-07T12:00:49Z,So sánh iPhone 15 Pro Max và Xiaomi 14 Pro !!!,Tony Phùng Studio,13677,256,68
65,vFFD022ZrNo,2023-10-31T12:00:48Z,Bây giờ không mua iPhone 15 Pro Max thì biết mua gì ???,Tony Phùng Studio,9430,136,59
66,0Clv7o4zrso,2023-11-11T12:36:55Z,iPhone 15 Pro Max FULL TITANIUM - Chất hơn cả Apple,Điện Thoại Vui TV,707,22,2
