,Id,Date published,Title,Channel title,Tags,View count,Like count,Comments count
0,eZg4026rlAM,2023-02-18T05:08:33Z,Đánh giá chi tiết Samsung Galaxy S23 Ultra: Đây mới là trải nghiệm Ultra | Vật Vờ Studio,Vật Vờ Studio,"['samsung', 'samsung galaxy s23 ultra', 'galaxy s23 ultra', 'đánh giá galaxy s23 ultra', 'galaxy s23 ultra review', 'review galaxy s23 ultra', 'giá galaxy s23 ultra', 'samsung s23 ultra', 's23', 's23 plus', 'galaxy s23 ultra giá bao nhiêu', 'galaxy s23 ultra ra mắt', 'Vật vờ', 'vatvo', 'vat vo', 'vinh vat vo', 'đánh giá', 'trên tay', 'review', 'mở hộp', 'vật vờ studio', 'vvs', 's23 ultra', 's22 ultra']",118893,1683,284
1,zKYZFj5QFeA,2023-02-20T14:30:30Z,Chiến Genshin Impact max độ họa với Samsung Galaxy S23 Ultra,Tinh tế,"['Tinhte.vn', 'Tinh tế', 'tinhte', 'trên tay', 'đánh giá', 'review', 'công nghệ', 'tinh tế']",9423,115,31
2,HiAigBLn0lY,2023-02-01T18:26:52Z,Trên tay Samsung Galaxy S23 Ultra,Tinh tế,"['Tinhte.vn', 'Tinh tế', 'tinhte', 'trên tay', 'đánh giá', 'review', 'công nghệ', 'tinh tế']",52437,493,103
3,kfYhDuJvzA0,2023-02-20T13:45:01Z,Samsung Galaxy S23 Ultra và những thay đổi “nhỏ”!,Tinh tế,"['Tinhte.vn', 'Tinh tế', 'tinhte', 'trên tay', 'đánh giá', 'review', 'công nghệ', 'tinh tế']",23615,280,69
4,TlGmjKDaq5M,2023-02-07T13:00:17Z,Review nhanh Samsung Galaxy S23 Ultra,Tinh tế,"['Tinhte.vn', 'Tinh tế', 'tinhte', 'trên tay', 'đánh giá', 'review', 'công nghệ', 'tinh tế']",18855,287,52
5,HtOsIE5Ks08,2023-02-01T18:02:34Z,Vinh Xô| Samsung Galaxy S23 Ultra: chỉ 6 phút là đủ,Vinh Xô,"['vatvo', 'vat vo', 'vật vờ', 'vật', 'vờ', 'vinh vat vo', 'vinh vật vờ', 'vinh xô', 'vinh', 'vinh xo', 'vinh review', 'vật vờ đánh giá', 'vật vờ review']",217104,2800,484
6,vF1w05RotNk,2023-04-18T12:20:33Z,Vinh Xô | Đánh giá chi tiết Samsung Galaxy S23 Ultra,Vinh Xô,"['s23', 'samsung', 's23 ultra', 'samsung galaxy s23 ultra', 'galaxy s23 ultra', 'đánh giá galaxy s23 ultra', 'galaxy s23 ultra review', 'review galaxy s23 ultra', 'giá galaxy s23 ultra', 'samsung s23 ultra', 's23 plus', 'galaxy s23 ultra giá bao nhiêu', 'galaxy s23 ultra ra mắt', 'Vật vờ', 'vatvo', 'vat vo', 'vinh vat vo', 'đánh giá', 'trên tay', 'review', 'vật vờ studio', 'vvs', 's23 ultra giá rẻ nhất', 's23 ultra vs iphone 14 pro max', 's22 ultra', 's22 ultra review', 'galaxy s22 ultra', 's23 ultra camera', 'galaxy s23 ultra video']",195212,2007,451
7,nMk8gvz9fII,2023-03-15T05:08:24Z,Vinh Xô | Giải mã sự thật chụp trăng của Samsung Galaxy S23 Ultra là fake?,Vinh Xô,"['s23', 'samsung', 's23 ultra', 'samsung galaxy s23 ultra', 'galaxy s23 ultra', 'đánh giá galaxy s23 ultra', 'galaxy s23 ultra review', 'review galaxy s23 ultra', 'giá galaxy s23 ultra', 'samsung s23 ultra', 's23 plus', 'galaxy s23 ultra giá bao nhiêu', 'galaxy s23 ultra ra mắt', 'Vật vờ', 'vatvo', 'vat vo', 'vinh vat vo', 'đánh giá', 'trên tay', 'review', 'vật vờ studio', 'vvs', 's23 ultra giá rẻ nhất', 's23 ultra vs iphone 14 pro max', 's22 ultra', 's22 ultra review', 'galaxy s22 ultra', 's23 ultra camera', 'galaxy s23 ultra video']",95147,1829,255
